,ID,Strain,Age,Weight,mediantemps,Date,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
51,shh_15.5_01_359_DN,DUHi,15.5,359,15.621,10/23/2014,DN,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,359DN
200,shh_14.5_24_359_FS,FVB,14.5,359,15.402,03/12/14,FS,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,y,325,359FS
62,shh_15.5_08_363_DV,DUHi,15.5,363,14.647,4/28/2015,DV,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,363DV
82,shh_15.5_13_369_DU,DUHi,15.5,369,15.66,10/23/2014,DU,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,369DU
83,shh_15.5_14_371_DU,DUHi,15.5,371,16.111,9/24/2014,DU,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,371DU
201,shh_14.5_25_373_FS,FVB,14.5,373,16.123,9/24/2014,FS,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,373FS
104,shh_15.5_15_399_DN,DUHi,15.5,399,14.721,4/28/2015,DN,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,Y,325,399DN
66,shh_16.0_04_424_DO,DUHi,16,424,15.583,03/12/14,DO,0,2,1,2,2,1,0_2_2_1,325_0_2_2_1,-,325,424DO
52,shh_15.5_02_426_DN,DUHi,15.5,426,15.991,3/20/2014,DN,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,426DN
105,shh_15.5_16_427_DN,DUHi,15.5,427,15.694,03/12/14,DN,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,y,325,427DN
57,shh_15.5_03_442_DN,DUHi,15.5,442,15.693,03/12/14,DN,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,442DN
