,ID,Strain,ident,Age,Weight,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
163,shh_15.0_16_257_FAA,FVB,490,15,257,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,257FAA
164,shh_15.0_17_258_FAA,FVB,491,15,258,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,258FAA
166,shh_15.0_18_269_FAA,FVB,494,15,269,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,269FAA
179,shh_15.0_19_281_FAC,FVB,498,15,281,FAC,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,281FAC
145,shh_15.0_20_264_FAC,FVB,493,15,264,FAC,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,264FAC
26,shh_15.0_21_291_FAC,FVB,499,15,291,FAC,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,291FAC
61,shh_14.0_01_163-167_B,FVB,367,14,165,FB,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,y,168,165FB
64,shh_14.0_02_171-178_B,FVB,361,14,174.5,FB,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,y,168,174.5FB
102,shh_14.0_03_163-167_B,FVB,366,14,165,FB,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,y,168,165FB
103,shh_14.0_05_171-178_B,FVB,360,14,174.5,FB,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,y,168,174.5FB
57,shh_14.0_06_171-178_B`,FVB,362,14,174.5,FB,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,y,143,174.5FB
122,shh_14.5_01_178_C,FVB,405,14.5,178,FC,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,Y,211,178FC
29,shh_14.5_02_193-197_C,FVB,406,14.5,195,FC,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,-,211,195FC
107,shh_14.5_04_199-207_C,FVB,409,14.5,203,FC,0,2,0,1,0,1,0_2_1_1,235_0_2_1_1,y,235,203FC
105,shh_14.5_05_199-207_C,FVB,410,14.5,203,FC,0,2,0,1,0,1,0_2_1_1,235_0_2_1_1,-,235,203FC
154,shh_15.0_01_234_D,FVB,529,15,234,FD,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,234FD
152,shh_15.0_02_246_D,FVB,529,15,246,FD,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,246FD
1,shh_15.0_04_293_D,FVB,537,15,293,FD,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,293FD
113,shh_15.0_05_256_D,FVB,530,15,256,FD,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,256FD
8,shh_15.0_06_285_D,FVB,535,15,285,FD,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,285FD
