	Age(dpc)	Date	Strain	Weight	Litter	Weekday
496	14	10/14/2014	DUHi	132	DU	3
497	14	10/14/2014	DUHi	142	DU	3
498	14	10/14/2014	DUHi	147	DU	3
499	14	10/14/2014	DUHi	158	DU	3
500	14	2/4/2015	DUHi	90	DY	4
501	14	2/4/2015	DUHi	93	DY	4
502	14	2/4/2015	DUHi	60	DY	4
503	14.5	4/30/2015	DUHi	186	DAD	5
504	14.5	4/30/2015	DUHi	191	DAD	5
505	14.5	4/30/2015	DUHi	217	DAD	5
506	14.5	4/30/2015	DUHi	250	DAD	5
507	14.5	10/29/2015	DUHi	182	DAF	5
508	14.5	10/29/2015	DUHi	193	DAF	5
509	14.5	10/29/2015	DUHi	204	DAF	5
510	14.5	10/29/2015	DUHi	207	DAF	5
511	14.5	10/29/2015	DUHi	222	DAF	5
512	14.5	10/29/2015	DUHi	223	DAF	5
513	14.5	10/29/2015	DUHi	225	DAF	5
514	14.5	10/29/2015	DUHi	229	DAF	5
515	14.5	10/29/2015	DUHi	230	DAF	5
516	14.5	10/29/2015	DUHi	231	DAF	5
517	14.5	10/29/2015	DUHi	232	DAF	5
518	14.5	10/29/2015	DUHi	236	DAF	5
519	14.5	10/29/2015	DUHi	239	DAF	5
520	14.5	10/29/2015	DUHi	242	DAF	5
521	14.5	12/17/2013	DUHi	200	DG	3
522	14.5	12/17/2013	DUHi	209	DG	3
523	14.5	12/17/2013	DUHi	216	DG	3
524	14.5	12/17/2013	DUHi	220	DG	3
525	14.5	12/17/2013	DUHi	228	DG	3
526	14.5	12/17/2013	DUHi	237	DG	3
527	14.5	12/17/2013	DUHi	242	DG	3
528	14.5	12/17/2013	DUHi	245	DG	3
529	14.5	12/17/2013	DUHi	249	DG	3
530	14.5	12/17/2013	DUHi	255	DG	3
531	14.5	12/17/2013	DUHi	256	DG	3
532	14.5	1/22/2014	DUHi	163	DH	4
533	14.5	1/22/2014	DUHi	196	DH	4
534	14.5	1/22/2014	DUHi	199	DH	4
535	14.5	1/22/2014	DUHi	211	DH	4
536	14.5	1/22/2014	DUHi	215	DH	4
537	14.5	1/22/2014	DUHi	216	DH	4
538	14.5	1/22/2014	DUHi	237	DH	4
539	14.5	1/22/2014	DUHi	241	DH	4
540	14.5	1/22/2014	DUHi	255	DH	4
541	14.5	1/22/2014	DUHi	262	DH	4
542	14.5	1/22/2014	DUHi	276	DH	4
543	14.5	3/4/2014	DUHi	171	DI	3
544	14.5	3/4/2014	DUHi	178	DI	3
545	14.5	3/4/2014	DUHi	179	DI	3
546	14.5	3/4/2014	DUHi	220	DI	3
547	14.5	3/4/2014	DUHi	238	DI	3
548	14.5	3/4/2014	DUHi	245	DI	3
549	14.5	3/4/2014	DUHi	247	DI	3
550	14.5	3/4/2014	DUHi	254	DI	3
551	14.5	3/4/2014	DUHi	255	DI	3
552	14.5	3/4/2014	DUHi	263	DI	3
553	14.5	3/4/2014	DUHi	268	DI	3
554	14.5	3/4/2014	DUHi	269	DI	3
555	14.5	7/24/2014	DUHI	187	DP	5
556	14.5	7/24/2014	DUHI	263	DP	5
557	14.5	7/24/2014	DUHI	287	DP	5
558	14.5	7/24/2014	DUHI	331	DP	5
559	14.5	7/24/2014	DUHI	343	DP	5
560	14.5	7/24/2014	DUHI	367	DP	5
561	15	10/30/2014	DUHi	183	DAB	5
562	15	10/30/2014	DUHi	203	DAB	5
563	15	03/10/16	DUHi	222	DAH	5
564	15	03/10/16	DUHi	239	DAH	5
565	15	03/10/16	DUHi	245	DAH	5
566	15	03/10/16	DUHi	253	DAH	5
567	15	03/10/16	DUHi	259	DAH	5
568	15	03/10/16	DUHi	263	DAH	5
569	15	03/10/16	DUHi	266	DAH	5
570	15	03/10/16	DUHi	268	DAH	5
571	15	03/10/16	DUHi	271	DAH	5
572	15	03/16/16	DUHi	171	DAJ	4
573	15	03/16/16	DUHi	256	DAJ	4
574	15	03/16/16	DUHi	269	DAJ	4
575	15	03/16/16	DUHi	284	DAJ	4
576	15	1/30/2014	DUHi	147	DJ	5
577	15	1/30/2014	DUHi	155	DJ	5
578	15	1/30/2014	DUHi	186	DJ	5
